,LAT,F0,F1,F2,Guidance,Testimony,Evaluation
16,DirectAddress,0.586554375,-0.159492874,-0.047639035,0.586554375,-0.159492874,-0.047639035
23,Contingency,0.416808626,0.13026779,0.137869289,0.416808626,0.13026779,0.137869289
0,Motions,0.414238014,0.193946562,0.115884499,0.414238014,0.193946562,0.115884499
4,SubjectivePercept,0.342368303,0.078069256,0.089880326,0.342368303,0.078069256,0.089880326
5,SenseObject,0.337534248,-0.008923208,0.136665915,0.337534248,-0.008923208,0.136665915
58,Resemblances,0.27940276,0.010928294,0.032095187,0.27940276,0.010928294,0.032095187
37,Comparison,0.245564926,0.089193315,0.028000114,0.245564926,0.089193315,0.028000114
29,Cause,0.244854836,-0.104508509,0.003569593,0.244854836,-0.104508509,0.003569593
25,Sequence,0.235467822,0.229024072,0.042735791,0.235467822,0.229024072,0.042735791
76,PredictedFuture,0.22867144,-0.024772317,-0.043278597,0.22867144,-0.024772317,-0.043278597
19,SpaceRelation,0.217798701,0.120976673,0.013743466,0.217798701,0.120976673,0.013743466
61,DialogCues,0.210793493,-0.040876215,-0.06207329,0.210793493,-0.040876215,-0.06207329
20,PrivateThinking,0.209311506,0.116674045,0.007825243,0.209311506,0.116674045,0.007825243
2,Specifiers,0.195744245,0.000577142,0.119369991,0.195744245,0.000577142,0.119369991
11,Citations,0.192649265,0.116766552,0.003732661,0.192649265,0.116766552,0.003732661
55,Substitution,0.189574126,-0.042662824,-0.004567151,0.189574126,-0.042662824,-0.004567151
24,ReasonForward,0.187444646,0.109048461,0.082554354,0.187444646,0.109048461,0.082554354
49,Numbers,0.176873127,0.288659495,0.012629147,0.176873127,0.288659495,0.012629147
6,AbstractConcepts,0.171564064,0.069866336,0.290231273,0.171564064,0.069866336,0.290231273
81,Request,0.171068641,-0.062452496,-0.059061491,0.171068641,-0.062452496,-0.059061491
17,SenseProperty,0.165460359,0.034094797,0.101848652,0.165460359,0.034094797,0.101848652
14,Resistance,0.162771279,0.330803533,0.132041141,0.162771279,0.330803533,0.132041141
72,Concessive,0.147047982,0.04545766,0.007484345,0.147047982,0.04545766,0.007484345
31,ReasonBackward,0.145520107,0.129613789,0.191583718,0.145520107,0.129613789,0.191583718
8,ReportingStates,0.145141352,0.060935765,0.185076061,0.145141352,0.060935765,0.185076061
27,TimeShift,0.140778075,0.161196393,0.056179736,0.140778075,0.161196393,0.056179736
