,sentence_index,hiccups_sentence,fscope_tag,fscope_tag_plain
0,0,""" [ hiccup cure : one of the many homemade variety.coutesy lissame one of the unexpected pleasures ive had in working in body worlds have been discussions about hiccups.",0,staging
1,1,there are several plastinated bodies that show the diaphragm -- the usual instigator of hiccups -- very well.,0,staging
2,2,along with those discussions have been a ton of comments from visitors about how they stop their hiccups.,0,staging
3,3,so i put it to you science buzz readerswhat is your cure for hiccups?,1,inviting
4,4,where's my diaphragm : torso showing location of diaphragm.,0,staging
5,5,"courtesey gray's anatomycourtesy gray&amp; # 039;s anatomy ive been surprised at how few people actually know what happens in their body when they have the hiccups, so lets cover that first.",0,staging
6,6,"the diaphragm is a large muscle that stretches across your entire torso, just below your lungs.",0,staging
7,7,it moves up and down to help your lungs inhale and exhale the air you breathe.,0,staging
8,8,a hiccup occurs when the diaphragm experiences a spasm.,0,staging
9,9,"youve probably felt your arm or leg muscles spasm, when they kind of twitch without you doing anything to make that happen.",0,staging
10,10,"when the diaphragm spasms, it causes a quick intake of breath.",0,staging
11,11,but that breath is stopped quickly because the vocal cords in your throat close.,0,staging
12,12,the resulting turbulence of air in your throat makes the sound of a hiccup.,0,staging
13,13,so why does the diaphragm spasm?,1,inviting
14,14,one of the main causes is a full stomach.,0,staging
15,15,"factors leading to a full stomach that can lead to hiccups include eating too much food too fast, drinking too much alcohol, swallowing too much air, smoking, a sudden change in stomach temperature ( like drinking a hot beverage after a cold beverage ) or emotional stress or excitement.",0,staging
16,16,"in most cases, hiccups go away in just a few minutes.",0,staging
17,17,"if they go on for a longer period of time, your abdomen may start to hurt.",0,staging
18,18,"in rare instances, hiccups can last for more than 48 hours.",0,staging
19,19,those persistent hiccups are usually a sign of more serious health problems and should be checked on by a doctor.,0,staging
20,20,"those conditions could include a problem with the central nervous system; problems in the bodys chemistry for kidney functions or hyperventilating; irradiation of the nerves in the head, neck or chest; anesthesia or surgery; mental health problems.",0,staging
21,21,the best cures for regular forms of hiccups involve increasing the level of carbon dioxide in your blood.,0,staging
22,22,"so how do you think you can do that? ] """,1,inviting
23,23,i always try to chill out and think about peacful stuff while breathing really deep.,0,staging
24,24,that seems to help until a friend makes me laugh or something... then... hic... hic... hic.. up... all over again.,1,inviting
25,25,i have the most amazing cure - and it works every time.,0,staging
26,26,i got it from shannon - who is an amazing woman.,0,staging
27,27,plug your ears with your thumbs - pinch each nostril with your middle fingers...... and drink a small amount of water from the tap.,1,inviting
28,28,i was totally skeptical - but it works every time.,0,staging
29,29,amazing.,0,staging
30,30,this really works very very fine.,0,staging
31,31,thanks a lot for the tip.,2,evoking
32,32,"in fact, does not work every time!!",2,evoking
33,33,ur cure was 100 % effective on my first try.,0,staging
34,34,i had the hiccups for 2 days.,0,staging
35,35,once again worked for me thanks!!,2,evoking
36,36,*** mmmaverickmann *** thank you so much for this tip!,2,evoking
37,37,ive had the hiccups for the last 3 hours and ive tried everything.,0,staging
38,38,i felt horrible b/c my boyfriend is sleeping to go to work early and every 3 secs... i hiccup.,0,staging
39,39,i also took some other of my own remidies and im rather ready to crash into that pillow.,0,staging
40,40,thank you so much.,2,evoking
41,41,i will never forget this moment!,2,evoking
